"./open-fpga-verilog-tutorial/tutorial/ICESTICK/T30-microbio"," ","./hdl/syn"," ","./icebreaker-fizzbuzz/fizzbuzz"," ","./iceZ0mb1e"," ","./fpga/top/icestick"," ","./pmods/lcd_test"," ","./fpga-pulses-ice"," ","./verilog_tutorials_BB/project_18"," ","./icebreaker-examples/dvi-12bit"," ",
"make execution time (sec)","PNR design speed (MHz)","make execution time (sec)","PNR design speed (MHz)","make execution time (sec)","PNR design speed (MHz)","make execution time (sec)","PNR design speed (MHz)","make execution time (sec)","PNR design speed (MHz)","make execution time (sec)","PNR design speed (MHz)","make execution time (sec)","PNR design speed (MHz)","make execution time (sec)","PNR design speed (MHz)","make execution time (sec)","PNR design speed (MHz)",
4,138.13,34,51.16,10,41.82,124,22.94,16,83.56,4,87.95,32,49.08,42,30.60,15,28.75,
3,133.72,34,51.60,10,37.46,123,24.64,16,86.77,4,89.77,32,54.39,42,28.58,15,26.74,
3,115.90,34,49.25,10,43.28,130,25.48,15,91.38,4,92.87,32,50.13,40,29.28,15,24.84,
3,141.98,34,46.96,10,42.89,128,24.55,16,89.66,4,99.34,32,48.39,40,30.99,15,27.65,
3,140.72,34,50.49,9,36.34,140,26.57,15,82.03,4,93.36,32,49.16,40,29.09,14,27.25,
3,145.60,34,51.88,11,44.11,134,24.67,15,92.15,3,104.36,33,53.24,41,28.91,15,28.12,
3,122.68,34,47.21,10,33.47,126,26.96,15,83.61,3,95.36,32,54.04,39,29.49,16,26.06,
3,136.28,33,49.78,10,40.49,129,25.66,15,87.57,4,100.68,32,49.06,41,30.41,15,25.71,
3,132.97,35,47.41,10,42.10,131,27.39,15,90.06,4,104.06,32,48.73,38,29.58,15,27.05,
4,128.19,34,49.95,10,39.25,130,25.11,16,80.59,4,88.05,32,46.84,38,29.35,15,26.83,
3,113.23,34,44.89,10,38.79,128,24.92,16,89.89,4,84.76,34,51.03,39,29.74,15,27.02,
3,93.24,34,51.84,11,39.03,128,22.02,16,86.19,4,96.91,31,53.64,39,30.46,15,27.09,
3,127.73,34,51.45,10,45.20,126,26.58,16,79.47,4,89.66,31,46.99,38,31.52,15,28.16,
3,97.84,34,51.67,10,40.45,127,25.29,16,81.23,3,87.95,31,50.34,38,28.87,15,25.77,
3,144.86,35,50.32,10,43.55,128,25.68,16,83.52,4,83.37,32,50.85,40,30.34,14,26.08,
4,128.08,34,60.13,10,44.14,127,27.78,16,85.62,4,86.30,33,51.01,37,29.37,15,26.87,
3,132.23,34,51.69,10,43.55,127,22.33,16,83.32,3,90.06,31,50.29,37,29.52,15,27.14,
3,97.51,34,53.56,9,40.73,129,24.92,16,84.26,3,92.39,32,49.88,39,29.88,15,29.12,
3,135.50,34,49.52,10,40.76,128,25.29,16,79.51,4,91.91,31,51.23,40,29.19,15,27.34,
3,130.66,34,52.34,9,45.50,128,25.57,16,88.55,4,91.38,31,49.88,39,30.60,15,28.05,
3,138.13,34,52.15,9,40.11,122,25.07,16,91.27,4,96.58,33,52.30,38,30.66,16,26.42,
3,134.86,34,47.65,10,44.74,124,26.85,15,83.17,4,96.85,32,51.40,40,30.37,16,26.85,
3,133.97,33,46.73,9,40.67,123,24.44,16,84.81,4,86.19,32,50.09,38,31.18,16,27.81,
3,116.75,34,60.90,9,41.00,123,23.64,16,88.27,3,81.56,32,52.55,36,27.62,16,28.03,
4,118.40,34,47.07,10,40.54,122,25.33,16,91.21,4,97.38,32,51.82,39,28.14,16,26.66,
4,146.35,34,50.13,10,44.29,122,24.88,16,84.41,4,86.19,32,50.72,39,29.59,16,26.38,
3,140.16,35,51.05,10,36.78,122,27.63,16,85.47,3,88.27,32,51.23,37,29.17,16,27.13,
3,139.21,34,52.42,9,40.32,121,27.13,15,86.77,4,97.24,32,48.12,38,30.30,16,26.88,
3,101.18,36,49.57,10,41.45,121,23.14,16,85.93,4,84.11,32,51.01,37,30.99,16,25.43,
3,144.72,35,52.73,9,41.82,121,25.89,16,83.86,4,92.75,32,49.80,36,29.78,15,28.53,
3,146.65,33,48.02,10,37.63,121,26.35,16,84.71,4,87.62,33,47.37,38,29.52,15,27.15,
3,110.25,33,47.24,9,43.38,122,23.29,16,86.82,3,89.94,32,51.10,38,27.92,15,26.66,
