"./fpga-pulses-ice"," ",
"make execution time (sec)","PNR design speed (MHz)",
32,49.08,
32,54.39,
32,50.13,
32,48.39,
32,49.16,
33,53.24,
32,54.04,
32,49.06,
32,48.73,
32,46.84,
34,51.03,
31,53.64,
31,46.99,
31,50.34,
32,50.85,
33,51.01,
31,50.29,
32,49.88,
31,51.23,
31,49.88,
33,52.30,
32,51.40,
32,50.09,
32,52.55,
32,51.82,
32,50.72,
32,51.23,
32,48.12,
32,51.01,
32,49.80,
33,47.37,
32,51.10,
33,52.75,
33,50.90,
32,50.50,
32,48.15,
33,49.42,
32,54.00,
34,51.28,
33,48.69,
33,49.73,
34,56.31,
35,51.21,
35,54.86,
34,48.20,
34,51.58,
37,53.26,
36,49.52,
37,51.23,
37,49.75,
