"./hdl/syn"," ",
"make execution time (sec)","PNR design speed (MHz)",
34,51.16,
34,51.60,
34,49.25,
34,46.96,
34,50.49,
34,51.88,
34,47.21,
33,49.78,
35,47.41,
34,49.95,
34,44.89,
34,51.84,
34,51.45,
34,51.67,
35,50.32,
34,60.13,
34,51.69,
34,53.56,
34,49.52,
34,52.34,
34,52.15,
34,47.65,
33,46.73,
34,60.90,
34,47.07,
34,50.13,
35,51.05,
34,52.42,
36,49.57,
35,52.73,
33,48.02,
33,47.24,
34,49.90,
35,51.27,
34,53.24,
35,50.83,
35,53.44,
34,51.17,
35,49.20,
34,53.38,
35,52.61,
34,50.79,
34,55.84,
33,51.27,
33,51.36,
36,48.69,
34,47.96,
34,53.54,
33,51.82,
35,54.25,
