"./icebreaker-examples/dvi-12bit"," ",
"make execution time (sec)","PNR design speed (MHz)",
15,28.75,
15,26.74,
15,24.84,
15,27.65,
14,27.25,
15,28.12,
16,26.06,
15,25.71,
15,27.05,
15,26.83,
15,27.02,
15,27.09,
15,28.16,
15,25.77,
14,26.08,
15,26.87,
15,27.14,
15,29.12,
15,27.34,
15,28.05,
16,26.42,
16,26.85,
16,27.81,
16,28.03,
16,26.66,
16,26.38,
16,27.13,
16,26.88,
16,25.43,
15,28.53,
15,27.15,
15,26.66,
15,26.76,
15,25.95,
15,26.10,
15,28.75,
16,25.40,
15,25.51,
15,24.59,
15,26.19,
15,26.41,
15,25.02,
15,25.18,
15,25.37,
15,26.18,
16,26.09,
16,26.87,
16,27.43,
15,27.13,
16,28.56,
