"./icebreaker-fizzbuzz/fizzbuzz"," ",
"make execution time (sec)","PNR design speed (MHz)",
10,41.82,
10,37.46,
10,43.28,
10,42.89,
9,36.34,
11,44.11,
10,33.47,
10,40.49,
10,42.10,
10,39.25,
10,38.79,
11,39.03,
10,45.20,
10,40.45,
10,43.55,
10,44.14,
10,43.55,
9,40.73,
10,40.76,
9,45.50,
9,40.11,
10,44.74,
9,40.67,
9,41.00,
10,40.54,
10,44.29,
10,36.78,
9,40.32,
10,41.45,
9,41.82,
10,37.63,
9,43.38,
10,39.98,
9,41.34,
10,38.05,
9,42.12,
9,43.96,
10,47.14,
10,46.05,
10,35.24,
10,40.56,
10,45.69,
10,47.59,
10,37.07,
11,43.40,
10,44.58,
10,40.73,
10,37.11,
10,42.57,
9,37.24,
