"./iceZ0mb1e"," ",
"make execution time (sec)","PNR design speed (MHz)",
124,22.94,
123,24.64,
130,25.48,
128,24.55,
140,26.57,
134,24.67,
126,26.96,
129,25.66,
131,27.39,
130,25.11,
128,24.92,
128,22.02,
126,26.58,
127,25.29,
128,25.68,
127,27.78,
127,22.33,
129,24.92,
128,25.29,
128,25.57,
122,25.07,
124,26.85,
123,24.44,
123,23.64,
122,25.33,
122,24.88,
122,27.63,
121,27.13,
121,23.14,
121,25.89,
121,26.35,
122,23.29,
121,24.86,
121,24.21,
122,25.45,
121,24.76,
123,24.90,
121,25.85,
131,26.86,
129,26.47,
125,25.41,
123,24.46,
127,27.05,
123,22.34,
122,25.92,
121,26.78,
128,25.39,
123,25.84,
124,26.23,
124,26.21,
